source_row_number,record_id,customer_id,source_file,source_type,customer_name_raw,customer_name_clean,phone_raw,phone_clean,email_raw,email_clean,invoice_no_raw,invoice_no_clean,transaction_date_raw,transaction_date_clean,service_or_product_raw,service_or_product_clean,category_raw,category_clean,branch_raw,branch_clean,city_raw,city_clean,country,amount_raw,amount_clean,quantity,duplicate_flag,missing_field_flag,contact_valid_flag,date_valid_flag,amount_valid_flag,validation_status,review_notes
73,REC-00073,CUST-1065,branch_north.xlsx,branch,Alice Waverley,Alice Waverley,00447731924051,07731924051,ALICE.WAVERLEY@EXAMPLEMAIL.CO.UK,alice.waverley@examplemail.co.uk,1072,INV-1072,15-02-2025,2025-02-15,premium consultation,Premium Consultation,P,Premium,south office,South Branch,LEEDS,Leeds,United Kingdom,0,0.0,30.0,,,,,,,
74,REC-00074,CUST-1066,branch_north.xlsx,branch,Eliza Ainsworth,Eliza Ainsworth,07932894,07885675101,eliza.ainsworth@examplemail.co,eliza.ainsworth@examplemail.co.uk,inv-1073,INV-1073,06 Mar 2025,2025-03-06,Inv Audit,Inv Audit,STD,Standard,central office,Central Office,Mcr,Manchester,United Kingdom,£900,900.0,40.0,,,,,,,phone updated from contact_updates
75,REC-00075,CUST-1007,branch_north.xlsx,branch,FREYA CRAWFORD,Freya Crawford,07966647391,07966647391,freya.crawford@examplemail.co,freya.crawford@examplemail.co.uk,inv-1074,INV-1074,16 January 2025,2025-01-16,Store Refresh,Store Refresh,premium service,Premium,Central Hub,South Branch,bristol,Leeds,United Kingdom,500.00,500.0,20.0,,,,,,,
76,REC-00076,CUST-1067,branch_north.xlsx,branch,Luke Winslow,Luke Winslow,00000000000,,luke.winslow@examplemail.co.uk,luke.winslow@examplemail.co.uk,INV 1075,INV-1075,07/02/25,2025-02-07,customer care review,Customer Care Review,Basic,Standard,Central,Central Office,Birmingham,Birmingham,United Kingdom,£225,225.0,10.0,,,,,,,
77,REC-00077,CUST-1017,branch_north.xlsx,branch,George Langley,George Langley,07959629660,07959629660,george.langley@examplemail.co.uk,george.langley@examplemail.co.uk,inv 1076,INV-1076,14 Jan 2025,2025-01-14,inventory audit,Inventory Audit,Std,Standard,Central,Central Branch,LEEDS,Leeds,United Kingdom,£550,550.0,20.0,,,,,,,
78,REC-00078,CUST-1020,branch_north.xlsx,branch,Samuel Blackwell,Samuel Blackwell,07461203124,07461203124,samuel.blackwell@examplemail.co,samuel.blackwell@examplemail.co.uk,inv-1077,INV-1077,10-01-2025,2025-01-10,Install Support,Installation Support,Basic,Standard,central office,Central Branch,bristol,Bristol,United Kingdom,525,525.0,30.0,,,,,,,
79,REC-00079,CUST-1068,branch_north.xlsx,branch,florence chadwick,Florence Chadwick,00447250519597,07250519597,florence.chadwick@examplemail.co.uk,florence.chadwick@examplemail.co.uk,INV 1078,INV-1078,28 Mar 2025,2025-03-28,Priority Service Call,Priority Service Call,premium service,Premium,Central,Central Branch,Bristol,Bristol,United Kingdom,200.00,200.0,10.0,,,,,,,
80,REC-00080,CUST-1069,branch_north.xlsx,branch,Isla Sterling,Isla Sterling,07685823118,07685823118,ISLA.STERLING@EXAMPLEMAIL.CO.UK,isla.sterling@examplemail.co.uk,inv 1079,INV-1079,25 Jan 2025,2025-01-25,maintenance visit,Maintenance Visit,Standard,Standard,Central Hub,Central Branch,manchester,Manchester,United Kingdom,1100,1100.0,40.0,,,,,,,
81,REC-00081,CUST-1070,branch_north.xlsx,branch,Rosie Collins,Rosie Collins,07902099,07352027504,rosie.collins@examplemail.co,rosie.collins@examplemail.co.uk,INV1080,INV-1080,14-03-2025,2025-03-14,premium consultation,Premium Consultation,Premium,Premium,North,North Branch,Leeds,Leeds,United Kingdom,£300,300.0,20.0,,,,,,,phone updated from contact_updates
82,REC-00082,CUST-1071,branch_north.xlsx,branch,ALFIE MARLOWE,Alfie Marlowe,+44 7872 830 248,07872830248,alfie.marlowe@@examplemail.co.uk,alfie.marlowe@examplemail.co.uk,INV1081,INV-1081,10 January 2025,2025-01-10,Store Refresh,Store Refresh,Premium,Premium,south office,South Branch,Bham,Birmingham,United Kingdom,£500,500.0,20.0,,,,,,,
83,REC-00083,CUST-1072,branch_north.xlsx,branch,ARTHUR STERLING,Arthur Sterling,07721609,,arthur.sterling@examplemail.co.uk,arthur.sterling@examplemail.co.uk,INV1082,INV-1082,18-03-2025,2025-03-18,Prem Consult,Prem Consult,Premium,Premium,central office,Central Office,Manchester,Manchester,United Kingdom,£250,250.0,10.0,,,,,,,
84,REC-00084,CUST-1073,branch_north.xlsx,branch,Leo Hollis,Leo Hollis,00000000000,,leo.hollis@@examplemail.co.uk,leo.hollis@examplemail.co.uk,INV-1083,INV-1083,2025-04-01,2025-01-04,deep cleaning package,Deep Cleaning,Premium,Premium,CENTRAL BRANCH,Central Office,LEEDS,Leeds,United Kingdom,285,285.0,30.0,,,,,,,
85,REC-00085,CUST-1074,branch_north.xlsx,branch,Sophie Collins,Sophie Collins,07845 122 940,07845122940,sophie.collins@examplemail.co.uk,sophie.collins@examplemail.co.uk,INV 1084,INV-1084,23/02/25,2025-02-23,premium consultation,Premium Consultation,Premium,Premium,NORTH HQ,North Branch,Bristol,Bristol,United Kingdom,£450,450.0,30.0,,,,,,,
86,REC-00086,CUST-1075,branch_north.xlsx,branch,Isla Marlowe,Isla Marlowe,00000000000,,isla.marlowe@examplemail.co.uk,isla.marlowe@examplemail.co.uk,INV 1085,INV-1085,20 March 2025,2025-03-20,Customer Care Review,Customer Care Review,Std,Standard,CENTRAL BRANCH,Central Branch,Manchester,Manchester,United Kingdom,"1,100",1.1,40.0,,,,,,,
87,REC-00087,CUST-1056,branch_north.xlsx,branch,Oscar Blackwell,Oscar Blackwell,00447932734539,07932734539,oscar.blackwell@examplemail.co.uk,oscar.blackwell@examplemail.co.uk,inv 1086,INV-1086,27/01/25,2025-01-27,inventory audit,Inventory Audit,STD,Standard,south,South Branch,Mcr,Manchester,United Kingdom,200,200.0,10.0,,,,,,,
88,REC-00088,CUST-1076,branch_north.xlsx,branch,FREYA SINCLAIR,Freya Sinclair,+44 7643 189 555,07643189555,freya.sinclair@examplemail.co.uk,freya.sinclair@examplemail.co.uk,INV 1087,INV-1087,04 Feb 2025,2025-02-04,Deep Cleaning Package,Deep Cleaning,prem,Premium,Central,Central Branch,Manchester,Manchester,United Kingdom,0,0.0,30.0,,,,,,,
89,REC-00089,CUST-1077,branch_north.xlsx,branch,Thomas Sinclair,Thomas Sinclair,+44 7951 078 441,07951078441,thomas.sinclair@@examplemail.co.uk,thomas.sinclair@examplemail.co.uk,INV-1088,INV-1088,11 Feb 2025,2025-02-11,Operational Check,Operational Check,Std,Standard,north,North Branch,MANCHESTER,Manchester,United Kingdom,675.00,675.0,30.0,,,,,,,
90,REC-00090,CUST-1078,branch_north.xlsx,branch,ELEANOR REDFORD,Eleanor Redford,00000000000,,eleanor.redford@@examplemail.co.uk,eleanor.redford@examplemail.co.uk,inv-1089,INV-1089,2025-02-13,2025-02-13,CCR,Ccr,Std,Standard,south,South Branch,LEEDS,Leeds,United Kingdom,£1000,1000.0,40.0,,,,,,,
91,REC-00091,CUST-1001,branch_north.xlsx,branch,Theodore Marlowe,Theodore Marlowe,00447599154414,07599154414,theodore.marlowe@@examplemail.co.uk,theodore.marlowe@examplemail.co.uk,1090,INV-1090,22 February 2025,2025-02-22,Store Refresh,Store Refresh,P,Premium,Central,Central Branch,bristol,Bristol,United Kingdom,900,900.0,40.0,,,,,,,
92,REC-00092,CUST-1065,branch_north.xlsx,branch,alice waverley,Alice Waverley,00447731924051,07731924051,ALICE.WAVERLEY@EXAMPLEMAIL.CO.UK,alice.waverley@examplemail.co.uk,INV 1091,INV-1091,2025-01-20,2025-01-20,Maint Visit,Maintenance Visit,STD,Standard,south office,South Branch,LEEDS,Leeds,United Kingdom,600,600.0,40.0,,,,,,,
93,REC-00093,CUST-1077,branch_north.xlsx,branch,Thomas Sinclair,Thomas Sinclair,+44 7951 078 441,07951078441,thomas.sinclair@@examplemail.co.uk,thomas.sinclair@examplemail.co.uk,1092,INV-1092,20 Feb 2025,2025-02-20,Maint Visit,Maintenance Visit,Std,Standard,NORTH HQ,North Branch,Mcr,Manchester,United Kingdom,600,600.0,30.0,,,,,,,
94,REC-00094,CUST-1079,branch_north.xlsx,branch,Poppy Chadwick,Poppy Chadwick,00447599277266,07599277266,poppy.chadwick@examplemail.co,poppy.chadwick@examplemail.co.uk,inv-1093,INV-1093,28/03/25,2025-03-28,operational check,Operational Check,STD,Standard,south,South Branch,leeds,Leeds,United Kingdom,900,900.0,40.0,,,,,,,
95,REC-00095,CUST-1020,branch_north.xlsx,branch,Samuel Blackwell,Samuel Blackwell,07461203124,07461203124,samuel.blackwell@examplemail.co,samuel.blackwell@examplemail.co.uk,1094,INV-1094,24-02-2025,2025-02-24,deep cleaning package,Deep Cleaning,P,Premium,central office,Central Branch,bristol,Bristol,United Kingdom,285,285.0,30.0,,,,,,,
96,REC-00096,CUST-1004,branch_north.xlsx,branch,EDWARD MARLOWE,Edward Marlowe,07509760,,edward.marlowe@examplemail.co,edward.marlowe@examplemail.co.uk,INV1095,INV-1095,2025-02-25,2025-02-25,store refresh,Store Refresh,Premium,Premium,North,North Branch,Bristol,Bristol,United Kingdom,150,150.0,10.0,,,,,,,
97,REC-00097,CUST-1080,branch_north.xlsx,branch,Phoebe Prescott,Phoebe Prescott,00447996278008,07996278008,phoebe.prescott@examplemail.co,phoebe.prescott@examplemail.co.uk,inv-1096,INV-1096,14/01/25,2025-01-14,Op Check,Op Check,Std,Standard,south,South Branch,Bristol City,Bristol,United Kingdom,450,450.0,20.0,,,,,,,
98,REC-00098,CUST-1081,branch_north.xlsx,branch,ISLA ASHCROFT,Isla Ashcroft,00447682624278,07682624278,isla.ashcroft@examplemail.co,isla.ashcroft@examplemail.co.uk,INV1097,INV-1097,23 Mar 2025,2025-03-23,Store Refresh,Store Refresh,premium service,Premium,south,South Branch,Leeds,Leeds,United Kingdom,900.00,900.0,40.0,,,,,,,
99,REC-00099,CUST-1082,branch_north.xlsx,branch,Imogen Kensington,Imogen Kensington,07624 232 414,07624232414,IMOGEN.KENSINGTON@EXAMPLEMAIL.CO.UK,imogen.kensington@examplemail.co.uk,inv 1098,INV-1098,2025-01-19,2025-01-19,Op Check,Op Check,STD,Standard,Central Hub,Central Branch,MANCHESTER,Manchester,United Kingdom,750.00,750.0,30.0,,,,,,,
100,REC-00100,CUST-1043,branch_north.xlsx,branch,Phoebe Darlington,Phoebe Darlington,07200 273 738,07200273738,PHOEBE.DARLINGTON@EXAMPLEMAIL.CO.UK,phoebe.darlington@examplemail.co.uk,INV 1099,INV-1099,10/02/25,2025-02-10,Maintenance Visit,Maintenance Visit,Basic,Standard,central office,Central Office,Leeds,Leeds,United Kingdom,550.00,550.0,20.0,,,,,,,
101,REC-00101,CUST-1065,branch_north.xlsx,branch,Alice Waverley,Alice Waverley,00447731924051,07731924051,ALICE.WAVERLEY@EXAMPLEMAIL.CO.UK,alice.waverley@examplemail.co.uk,INV 1100,INV-1100,22-03-2025,2025-03-22,store refresh,Store Refresh,premium service,Premium,south office,South Branch,LEEDS,Leeds,United Kingdom,825,825.0,30.0,,,,,,,
102,REC-00102,CUST-1041,branch_north.xlsx,branch,amelia darlington,Amelia Darlington,07812308209,07812308209,amelia.darlington@examplemail.co.uk,amelia.darlington@examplemail.co.uk,INV1101,INV-1101,15 February 2025,2025-02-15,Install Support,Installation Support,STD,Standard,CENTRAL BRANCH,Central Branch,Leedz,Leeds,United Kingdom,£150,150.0,10.0,,,,,,,
103,REC-00103,CUST-1023,branch_north.xlsx,branch,Henry Templeton,Henry Templeton,00000000000,,henry.templeton@examplemail.co.uk,henry.templeton@examplemail.co.uk,INV 1102,INV-1102,01-02-2025,2025-02-01,Operational Check,Operational Check,Basic,Standard,NORTH BRANCH,North Branch,birminham,Birmingham,United Kingdom,£675,675.0,30.0,,,,,,,
104,REC-00104,CUST-1070,branch_north.xlsx,branch,Rosie Collins,Rosie Collins,07902099,07352027504,rosie.collins@examplemail.co,rosie.collins@examplemail.co.uk,inv-1103,INV-1103,20-03-2025,2025-03-20,Priority Service Call,Priority Service Call,prem,Premium,North,North Branch,Leeds,Leeds,United Kingdom,300,300.0,20.0,,,,,,,phone updated from contact_updates
105,REC-00105,CUST-1081,branch_north.xlsx,branch,Isla Ashcroft,Isla Ashcroft,00447682624278,07682624278,isla.ashcroft@examplemail.co,isla.ashcroft@examplemail.co.uk,inv 1104,INV-1104,07/02/25,2025-02-07,Priority Call,Priority Call,prem,Premium,South Branch,South Branch,LEEDS,Leeds,United Kingdom,350,350.0,20.0,,,,,,,
106,REC-00106,CUST-1083,branch_north.xlsx,branch,Sophie Winslow,Sophie Winslow,+44 7694 164 665,07694164665,sophie.winslow@examplemail.co.uk,sophie.winslow@examplemail.co.uk,inv-1105,INV-1105,25 February 2025,2025-02-25,Deep Cleaning Package,Deep Cleaning,premium service,Premium,North,North Branch,Bham,Birmingham,United Kingdom,600.00,600.0,40.0,,,,,,,
107,REC-00107,CUST-1084,branch_north.xlsx,branch,OSCAR REDFORD,Oscar Redford,07511 872 350,07511872350,oscar.redford@@examplemail.co.uk,oscar.redford@examplemail.co.uk,inv 1106,INV-1106,18 January 2025,2025-01-18,Premium Consultation,Premium Consultation,prem,Premium,Central,Central Branch,Mcr,Manchester,United Kingdom,"1,000",1.0,40.0,,,,,,,
108,REC-00108,CUST-1085,branch_north.xlsx,branch,Sophie Hollis,Sophie Hollis,07705 557 720,07705557720,sophie.hollis@examplemail.co,sophie.hollis@examplemail.co.uk,INV1107,INV-1107,19/01/25,2025-01-19,Install Support,Installation Support,Std,Standard,Central,Central Branch,Birmingham,Birmingham,United Kingdom,275,275.0,10.0,,,,,,,
109,REC-00109,CUST-1031,branch_north.xlsx,branch,POPPY MERCER,Poppy Mercer,00000000000,,poppy.mercer@@examplemail.co.uk,poppy.mercer@examplemail.co.uk,inv-1108,INV-1108,23-02-2025,2025-02-23,Priority Call,Priority Call,prem,Premium,south,South Branch,Mcr,Manchester,United Kingdom,500.00,500.0,20.0,,,,,,,
110,REC-00110,CUST-1053,branch_north.xlsx,branch,alfie fletcher,Alfie Fletcher,07612957813,07612957813,alfie.fletcher@examplemail.co.uk,alfie.fletcher@examplemail.co.uk,1109,INV-1109,25 January 2025,2025-01-25,DC,Deep Cleaning,Premium,Premium,north,North Branch,Leedz,Leeds,United Kingdom,450.00,450.0,30.0,,,,,,,
111,REC-00111,CUST-1086,branch_north.xlsx,branch,Imogen Hollis,Imogen Hollis,07530613729,07530613729,imogen.hollis@examplemail.co.uk,imogen.hollis@examplemail.co.uk,INV1110,INV-1110,07-02-2025,2025-02-07,Customer Care Review,Customer Care Review,Standard,Standard,south office,South Branch,MANCHESTER,Manchester,United Kingdom,£200,200.0,10.0,,,,,,,
112,REC-00112,CUST-1087,branch_north.xlsx,branch,Samuel Ellison,Samuel Ellison,07592080,07925942935,samuel.ellison@@examplemail.co.uk,samuel.ellison@examplemail.co.uk,1111,INV-1111,2025-02-14,2025-02-14,Priority Call,Priority Call,Premium,Premium,north,North Branch,BIRMINGHAM,Birmingham,United Kingdom,150,150.0,10.0,,,,,,,phone updated from contact_updates
113,REC-00113,CUST-1088,branch_north.xlsx,branch,GEORGE CHADWICK,George Chadwick,00447409268943,07409268943,george.chadwick@examplemail.co,george.chadwick@examplemail.co.uk,1112,INV-1112,29-01-2025,2025-01-29,installation support,Installation Support,Standard,Standard,South Branch,South Branch,Mcr,Manchester,United Kingdom,£95,95.0,10.0,,,,,,,
114,REC-00114,CUST-1067,branch_north.xlsx,branch,luke winslow,Luke Winslow,00000000000,,luke.winslow@examplemail.co.uk,luke.winslow@examplemail.co.uk,INV1113,INV-1113,02 April 2025,2025-04-02,deep cleaning package,Deep Cleaning,P,Premium,Central,Central Office,Birmingham,Birmingham,United Kingdom,£500,500.0,20.0,,,,,,,
115,REC-00115,CUST-1000,branch_north.xlsx,branch,Phoebe Winslow,Phoebe Winslow,+44 7879 591 310,07879591310,phoebe.winslow@@examplemail.co.uk,phoebe.winslow@examplemail.co.uk,INV-1114,INV-1114,14-03-2025,2025-03-14,DC,Deep Cleaning,prem,Premium,NORTH BRANCH,North Branch,Leeds,Leeds,United Kingdom,825,825.0,30.0,,,,,,,
116,REC-00116,CUST-1089,branch_north.xlsx,branch,leo sterling,Leo Sterling,00000000000,,leo.sterling@examplemail.co.uk,leo.sterling@examplemail.co.uk,INV1115,INV-1115,17-02-2025,2025-02-17,Refresh,Refresh,P,Premium,NORTH HQ,North Branch,LEEDS,Leeds,United Kingdom,150.00,150.0,10.0,,,,,,,
117,REC-00117,CUST-1001,branch_north.xlsx,branch,Theodore Marlowe,Theodore Marlowe,00447599154414,07599154414,theodore.marlowe@@examplemail.co.uk,theodore.marlowe@examplemail.co.uk,INV1116,INV-1116,12 March 2025,2025-03-12,store refresh,Store Refresh,prem,Premium,Central,Central Branch,bristol,Bristol,United Kingdom,450,450.0,30.0,,,,,,,
118,REC-00118,CUST-1043,branch_north.xlsx,branch,Phoebe Darlington,Phoebe Darlington,07200 273 738,07200273738,PHOEBE.DARLINGTON@EXAMPLEMAIL.CO.UK,phoebe.darlington@examplemail.co.uk,inv 1117,INV-1117,2025-02-23,2025-02-23,CCR,Ccr,Standard,Standard,central office,Central Office,Leedz,Leeds,United Kingdom,£360,360.0,30.0,,,,,,,
119,REC-00119,CUST-1090,branch_north.xlsx,branch,MATILDA AINSWORTH,Matilda Ainsworth,07126226563,07126226563,matilda.ainsworth@examplemail.co.uk,matilda.ainsworth@examplemail.co.uk,INV1118,INV-1118,10-03-2025,2025-03-10,on site setup,On Site Setup,Standard,Standard,north,North Branch,MANCHESTER,Manchester,United Kingdom,£700,700.0,40.0,,,,,,,
120,REC-00120,CUST-1035,branch_north.xlsx,branch,SAMUEL BRAMWELL,Samuel Bramwell,00000000000,,samuel.bramwell@examplemail.co.uk,samuel.bramwell@examplemail.co.uk,1119,INV-1119,16 January 2025,2025-01-16,premium consultation,Premium Consultation,Premium,Premium,Central,Central Branch,birminham,Birmingham,United Kingdom,£700,700.0,40.0,,,,,,,
121,REC-00121,CUST-1077,branch_north.xlsx,branch,Thomas Sinclair,Thomas Sinclair,+44 7951 078 441,07951078441,thomas.sinclair@@examplemail.co.uk,thomas.sinclair@examplemail.co.uk,1092,INV-1092,20 Feb 2025,2025-02-20,Maint Visit,Maintenance Visit,Std,Standard,NORTH HQ,North Branch,Mcr,Manchester,United Kingdom,600,600.0,30.0,,,,,,,
122,REC-00122,CUST-1047,branch_north.xlsx,branch,sebastian sinclair,Sebastian Sinclair,00447699226355,07699226355,sebastian.sinclair@@examplemail.co.uk,sebastian.sinclair@examplemail.co.uk,INV 1049,INV-1049,18-03-2025,2025-03-18,Prem Consult,Prem Consult,P,Premium,North,North Branch,birminham,Birmingham,United Kingdom,675,675.0,30.0,,,,,,,
123,REC-00123,CUST-1035,branch_north.xlsx,branch,SAMUEL BRAMWELL,Samuel Bramwell,00000000000,,samuel.bramwell@examplemail.co.uk,samuel.bramwell@examplemail.co.uk,1119,INV-1119,16 January 2025,2025-01-16,premium consultation,Premium Consultation,Premium,Premium,Central,Central Branch,birminham,Birmingham,United Kingdom,£700,700.0,40.0,,,,,,,
124,REC-00124,CUST-1049,branch_north.xlsx,branch,JACK BENNETT,Jack Bennett,+44 7903 132 646,07903132646,jack.bennett@examplemail.co.uk,jack.bennett@examplemail.co.uk,INV-1051,INV-1051,29-01-2025,2025-01-29,Install Support,Installation Support,Basic,Standard,Central Hub,Central Branch,birminham,Birmingham,United Kingdom,£1100,1100.0,40.0,,,,,,,
125,REC-00125,CUST-1068,branch_north.xlsx,branch,florence chadwick,Florence Chadwick,00447250519597,07250519597,florence.chadwick@examplemail.co.uk,florence.chadwick@examplemail.co.uk,INV 1078,INV-1078,28 Mar 2025,2025-03-28,Priority Service Call,Priority Service Call,premium service,Premium,Central,Central Branch,Bristol,Bristol,United Kingdom,200.00,200.0,10.0,,,,,,,
126,REC-00126,CUST-1073,branch_north.xlsx,branch,Leo Hollis,Leo Hollis,00000000000,,leo.hollis@@examplemail.co.uk,leo.hollis@examplemail.co.uk,INV-1083,INV-1083,2025-04-01,2025-01-04,deep cleaning package,Deep Cleaning,Premium,Premium,CENTRAL BRANCH,Central Office,LEEDS,Leeds,United Kingdom,285,285.0,30.0,,,,,,,
127,REC-00127,CUST-1054,branch_north.xlsx,branch,HUGO HOLLIS,Hugo Hollis,07262 915 636,07262915636,hugo.hollis@@examplemail.co.uk,hugo.hollis@examplemail.co.uk,inv-1066,INV-1066,18-03-2025,2025-03-18,Priority Call,Priority Call,P,Premium,NORTH BRANCH,North Branch,Bham,Birmingham,United Kingdom,500.00,500.0,20.0,,,,,,,
128,REC-00128,CUST-1036,branch_north.xlsx,branch,Freya Bramwell,Freya Bramwell,07786066,,freya.bramwell@@examplemail.co.uk,freya.bramwell@examplemail.co.uk,INV-1036,INV-1036,06 February 2025,2025-02-06,Priority Service Call,Priority Service Call,P,Premium,Central,Central Branch,LEEDS,Leeds,United Kingdom,£900,900.0,40.0,,,,,,,
129,REC-00129,CUST-1001,branch_south.csv,branch,Theodore Marlowe,Theodore Marlowe,00447599154414,07599154414,theodore.marlowe@@examplemail.co.uk,theodore.marlowe@examplemail.co.uk,INV-1090,INV-1090,22-02-2025,2025-02-22,store refresh,Store Refresh,Premium,Premium,Central,Central Office,bristol,Bristol,United Kingdom,"900,00",900.0,40.0,,,,,,,
130,REC-00130,CUST-1065,branch_south.csv,branch,ALICE WAVERLEY,Alice Waverley,00447731924051,07731924051,ALICE.WAVERLEY@EXAMPLEMAIL.CO.UK,alice.waverley@examplemail.co.uk,inv 1091,INV-1091,20 Jan 2025,2025-01-20,Maintenance Visit,Maintenance Visit,Standard,Standard,south office,South Branch,LEEDS,Leeds,United Kingdom,"600,00",600.0,40.0,,,,,,,
131,REC-00131,CUST-1077,branch_south.csv,branch,Thomas Sinclair,Thomas Sinclair,+44 7951 078 441,07951078441,thomas.sinclair@@examplemail.co.uk,thomas.sinclair@examplemail.co.uk,1092,INV-1092,20 February 2025,2025-02-20,Maintenance Visit,Maintenance Visit,Standard,Standard,North,North Branch,manchester,Manchester,United Kingdom,,,30.0,,,,,,,
132,REC-00132,CUST-1079,branch_south.csv,branch,poppy chadwick,Poppy Chadwick,00447599277266,07599277266,poppy.chadwick@examplemail.co,poppy.chadwick@examplemail.co.uk,inv-1093,INV-1093,28-03-2025,2025-03-28,operational check,Operational Check,Standard,Standard,south,South Branch,leeds,Leeds,United Kingdom,"900,00",900.0,40.0,,,,,,,
133,REC-00133,CUST-1020,branch_south.csv,branch,samuel blackwell,Samuel Blackwell,07461203124,07461203124,samuel.blackwell@examplemail.co,samuel.blackwell@examplemail.co.uk,INV 1094,INV-1094,24 February 2025,2025-02-24,deep cleaning package,Deep Cleaning,P,Premium,central office,Central Branch,bristol,Bristol,United Kingdom,,,30.0,,,,,,,
134,REC-00134,CUST-1004,branch_south.csv,branch,Edward Marlowe,Edward Marlowe,07509760,,edward.marlowe@examplemail.co,edward.marlowe@examplemail.co.uk,INV1095,INV-1095,25-02-2025,2025-02-25,Store Refresh,Store Refresh,P,Premium,North,North Branch,Bristol City,Bristol,United Kingdom,,,10.0,,,,,,,
135,REC-00135,CUST-1080,branch_south.csv,branch,Phoebe Prescott,Phoebe Prescott,00447996278008,07996278008,phoebe.prescott@examplemail.co,phoebe.prescott@examplemail.co.uk,INV 1096,INV-1096,14 Jan 2025,2025-01-14,Operational Check,Operational Check,Std,Standard,South,South Branch,Bristol City,Bristol,United Kingdom,"450,00",450.0,20.0,,,,,,,
136,REC-00136,CUST-1081,branch_south.csv,branch,ISLA ASHCROFT,Isla Ashcroft,00447682624278,07682624278,isla.ashcroft@examplemail.co,isla.ashcroft@examplemail.co.uk,,,23 Mar 2025,2025-03-23,Store Refresh,Store Refresh,P,Premium,south office,South Branch,leeds,Leeds,United Kingdom,,,40.0,,,,,,,
137,REC-00137,CUST-1082,branch_south.csv,branch,IMOGEN KENSINGTON,Imogen Kensington,07624 232 414,07624232414,IMOGEN.KENSINGTON@EXAMPLEMAIL.CO.UK,imogen.kensington@examplemail.co.uk,inv-1098,INV-1098,2025-01-19,2025-01-19,Op Check,Op Check,Std,Standard,Central Hub,Central Office,MANCHESTER,Manchester,United Kingdom,"750,00",750.0,30.0,,,,,,,
138,REC-00138,CUST-1043,branch_south.csv,branch,Phoebe Darlington,Phoebe Darlington,07200 273 738,07200273738,PHOEBE.DARLINGTON@EXAMPLEMAIL.CO.UK,phoebe.darlington@examplemail.co.uk,INV1099,INV-1099,10-02-2025,2025-02-10,maintenance visit,Maintenance Visit,Std,Standard,Central Hub,Central Branch,LEEDS,Leeds,United Kingdom,,,20.0,,,,,,,
139,REC-00139,CUST-1065,branch_south.csv,branch,ALICE WAVERLEY,Alice Waverley,00447731924051,07731924051,ALICE.WAVERLEY@EXAMPLEMAIL.CO.UK,alice.waverley@examplemail.co.uk,INV1100,INV-1100,22/03/25,2025-03-22,Refresh,Refresh,premium service,Premium,south office,South Branch,LEEDS,Leeds,United Kingdom,,,30.0,,,,,,,
140,REC-00140,CUST-1041,branch_south.csv,branch,Amelia Darlington,Amelia Darlington,07812308209,07812308209,amelia.darlington@examplemail.co.uk,amelia.darlington@examplemail.co.uk,,,15 Feb 2025,2025-02-15,Install Support,Installation Support,Standard,Standard,CENTRAL BRANCH,Central Branch,Leedz,Leeds,United Kingdom,"150,00",150.0,10.0,,,,,,,
141,REC-00141,CUST-1023,branch_south.csv,branch,henry templeton,Henry Templeton,00000000000,,henry.templeton@examplemail.co.uk,henry.templeton@examplemail.co.uk,,,2025-02-01,2025-01-02,operational check,Operational Check,Basic,Standard,NORTH HQ,North Branch,birminham,Birmingham,United Kingdom,,,30.0,,,,,,,
142,REC-00142,CUST-1070,branch_south.csv,branch,rosie collins,Rosie Collins,07902099,07352027504,rosie.collins@examplemail.co,rosie.collins@examplemail.co.uk,,,20 Mar 2025,2025-03-20,priority service call,Priority Service Call,prem,Premium,North,North Branch,Leeds,Leeds,United Kingdom,"300,00",300.0,20.0,,,,,,,phone updated from contact_updates
143,REC-00143,CUST-1081,branch_south.csv,branch,isla ashcroft,Isla Ashcroft,00447682624278,07682624278,isla.ashcroft@examplemail.co,isla.ashcroft@examplemail.co.uk,,,07-02-2025,2025-02-07,Priority Service Call,Priority Service Call,prem,Premium,south office,South Branch,Leedz,Leeds,United Kingdom,350,350.0,20.0,,,,,,,
144,REC-00144,CUST-1083,branch_south.csv,branch,Sophie Winslow,Sophie Winslow,+44 7694 164 665,07694164665,sophie.winslow@examplemail.co.uk,sophie.winslow@examplemail.co.uk,,,25-02-2025,2025-02-25,deep cleaning package,Deep Cleaning,P,Premium,NORTH HQ,North Branch,Birmingham,Birmingham,United Kingdom,£600,600.0,40.0,,,,,,,
145,REC-00145,CUST-1084,branch_south.csv,branch,oscar redford,Oscar Redford,07511 872 350,07511872350,oscar.redford@@examplemail.co.uk,oscar.redford@examplemail.co.uk,1106,INV-1106,18-01-2025,2025-01-18,Prem Consult,Prem Consult,P,Premium,CENTRAL BRANCH,Central Branch,manchester,Manchester,United Kingdom,,,40.0,,,,,,,
146,REC-00146,CUST-1085,branch_south.csv,branch,Sophie Hollis,Sophie Hollis,07705 557 720,07705557720,sophie.hollis@examplemail.co,sophie.hollis@examplemail.co.uk,1107,INV-1107,19 Jan 2025,2025-01-19,Install Support,Installation Support,STD,Standard,Central,Central Office,Birmingham,Birmingham,United Kingdom,"275,00",275.0,10.0,,,,,,,
